20MICRONS,04-MAY-2021,39.9,41.0,37.1,37.8,194547,116108,1793
21STCENMGM,04-MAY-2021,12.35,12.35,11.95,12.05,1387,568,50
3IINFOTECH,04-MAY-2021,8.6,8.6,7.9,7.9,24550324,18812133,23391
3MINDIA,04-MAY-2021,26035.0,26441.65,25260.3,25360.45,3069,1289,1992
3PLAND,04-MAY-2021,11.45,11.45,10.0,10.4,11358,7507,197
5PAISA,04-MAY-2021,349.0,356.15,336.15,340.35,58484,19184,1807
A2ZINFRA,04-MAY-2021,4.25,4.35,3.9,3.95,1149644,757376,925
AAKASH,04-MAY-2021,142.4,145.0,141.0,144.55,24349,7616,263
AARON,04-MAY-2021,54.0,55.45,51.55,52.95,6868,4349,152
AARTIDRUGS,04-MAY-2021,723.6,726.3,707.7,711.05,292083,103367,9248
AARTIIND,04-MAY-2021,1647.7,1688.0,1613.0,1635.55,580391,169731,22585
AARTISURF,04-MAY-2021,1475.0,1486.05,1389.3,1402.95,17908,10956,2177
AARVI,04-MAY-2021,49.15,49.45,48.05,48.15,5258,3504,95
AAVAS,04-MAY-2021,2264.0,2316.15,2221.0,2247.2,40444,14129,6317
ABAN,04-MAY-2021,32.35,33.4,31.05,31.55,198561,128415,1640
ABB,04-MAY-2021,1392.0,1399.6,1365.1,1377.45,95411,52002,16803
ABBOTINDIA,04-MAY-2021,15169.2,15450.0,15070.05,15314.8,12152,7118,3709
ABCAPITAL,04-MAY-2021,115.4,118.75,113.5,114.15,2413240,819361,18106
ABFRL,04-MAY-2021,183.0,184.0,175.55,176.75,2227302,874887,16687
ABMINTLTD,04-MAY-2021,47.7,52.5,47.5,52.5,1609,1395,33
ABSLBANETF,04-MAY-2021,324.6,328.43,319.99,320.55,330,206,26
ABSLNN50ET,04-MAY-2021,360.0,360.0,354.5,355.3,78,68,10
ACC,04-MAY-2021,1912.0,1915.0,1866.0,1869.0,478133,105378,23168
ACCELYA,04-MAY-2021,903.0,919.95,880.0,884.6,9169,4272,989
ACCURACY,04-MAY-2021,64.7,65.2,59.05,60.9,60605,34369,822
ACE,04-MAY-2021,147.0,147.95,144.1,144.2,135814,95662,1884
ACRYSIL,04-MAY-2021,327.95,336.05,320.0,327.3,85851,50205,3293
ADANIENT,04-MAY-2021,1285.0,1298.95,1241.85,1262.5,10271516,851006,196235
ADANIGREEN,04-MAY-2021,1050.0,1063.0,1035.0,1045.1,256463,123514,16968
ADANIPORTS,04-MAY-2021,779.85,782.0,760.05,768.75,31400296,6240022,311611
ADANIPOWER,04-MAY-2021,96.7,99.0,94.35,95.7,21392613,11781581,50847
ADANITRANS,04-MAY-2021,1090.0,1095.0,1053.05,1065.35,754879,412712,21493
ADFFOODS,04-MAY-2021,964.0,964.95,891.05,906.0,25266,13157,3336
ADHUNIKIND,04-MAY-2021,24.9,26.95,24.15,24.4,121343,70604,591
ADORWELD,04-MAY-2021,395.0,403.0,376.0,379.9,43856,24029,2447
ADROITINFO,04-MAY-2021,9.7,10.15,9.5,10.1,1467,1466,17
ADSL,04-MAY-2021,48.4,48.45,44.75,45.8,186467,118446,973
ADVANIHOTR,04-MAY-2021,55.7,55.75,52.5,52.8,6841,5207,101
ADVENZYMES,04-MAY-2021,469.45,485.85,443.5,449.15,1789195,384167,39649
AEGISCHEM,04-MAY-2021,318.65,330.9,314.05,323.15,1578436,507417,35740
AFFLE,04-MAY-2021,5540.0,5649.8,5430.0,5475.65,48807,18325,11240
AGARIND,04-MAY-2021,167.2,167.2,165.6,167.2,32667,27973,248
AGCNET,04-MAY-2021,1631.55,1635.8,1600.0,1609.65,11069,10307,333
AGRITECH,04-MAY-2021,41.95,42.6,38.7,38.7,47126,29036,486
AGROPHOS,04-MAY-2021,12.2,12.2,11.5,11.8,90227,21957,680
AHLADA,04-MAY-2021,102.35,107.0,97.0,99.55,9110,6412,131
AHLEAST,04-MAY-2021,150.55,150.6,145.4,146.95,4450,4270,57
AHLUCONT,04-MAY-2021,283.8,287.0,280.0,281.25,53472,49743,860
AHLWEST,04-MAY-2021,210.5,210.5,201.45,203.8,1308,970,104
AIAENG,04-MAY-2021,1820.0,1888.0,1820.0,1871.7,44668,22993,7458
AIRAN,04-MAY-2021,15.9,16.25,15.9,16.15,22780,15602,236
AJANTPHARM,04-MAY-2021,1862.0,1874.0,1817.15,1864.5,206674,110982,21314
AJMERA,04-MAY-2021,110.2,121.95,110.2,114.05,87549,23538,1588
AKASH,04-MAY-2021,183.0,187.55,178.55,186.7,12513,7963,404
AKG,04-MAY-2021,34.0,34.0,30.8,30.85,41502,27809,683
AKSHARCHEM,04-MAY-2021,268.0,274.5,262.25,263.65,35141,19581,1539
AKSHOPTFBR,04-MAY-2021,6.15,6.45,6.1,6.3,323787,204975,494
AKZOINDIA,04-MAY-2021,2250.0,2265.0,2205.0,2214.7,5285,2993,1061
ALANKIT,04-MAY-2021,14.1,14.4,14.1,14.35,71634,54881,673
ALBERTDAVD,04-MAY-2021,440.35,449.15,436.0,438.85,15882,10423,730
ALEMBICLTD,04-MAY-2021,127.0,143.3,126.55,129.95,15616819,2232655,97223
ALICON,04-MAY-2021,480.1,561.0,473.0,546.8,181382,62079,9081
ALKALI,04-MAY-2021,57.95,57.95,53.5,54.7,30621,17727,1142
ALKEM,04-MAY-2021,2769.5,2809.5,2768.0,2798.6,315783,238725,10010
ALKYLAMINE,04-MAY-2021,8435.0,8623.7,7960.05,8011.15,96732,48904,23312
ALLCARGO,04-MAY-2021,127.9,127.9,124.15,124.45,287580,187917,7401
ALLSEC,04-MAY-2021,354.0,354.75,348.0,348.95,47581,37027,1145
ALMONDZ,04-MAY-2021,26.7,28.35,26.55,28.0,2550,2162,48
ALOKINDS,04-MAY-2021,18.95,19.75,18.85,19.05,11988341,4317375,13034
ALPHAGEO,04-MAY-2021,228.0,231.45,212.0,217.65,53050,27837,1553
ALPSINDUS,04-MAY-2021,1.55,1.65,1.55,1.6,20857,14489,35
