20MICRONS,14-MAR-2022,75.9,76.8,73.0,73.45,205018,121215,2479
21STCENMGM,14-MAR-2022,25.4,26.4,25.4,25.55,46895,35519,294
3IINFOLTD,14-MAR-2022,62.6,63.45,58.7,58.7,1166773,729750,9128
3MINDIA,14-MAR-2022,19999.95,19999.95,19433.75,19704.95,4640,2842,2827
5PAISA,14-MAR-2022,320.0,320.0,305.95,307.0,21805,15580,777
A2ZINFRA,14-MAR-2022,10.9,11.4,10.4,10.4,1571040,678799,1821
AAREYDRUGS,14-MAR-2022,43.95,44.9,41.55,44.05,33872,21879,472
AARON,14-MAR-2022,119.95,119.95,115.2,118.5,829,221,74
AARTIDRUGS,14-MAR-2022,466.2,466.2,451.0,452.1,120402,64412,5931
AARTIIND,14-MAR-2022,845.15,878.7,835.2,870.6,1208308,426824,45107
AARTISURF,14-MAR-2022,796.0,796.0,769.0,772.9,18537,14391,1655
AARVEEDEN,14-MAR-2022,25.45,25.85,24.65,25.6,8898,5261,109
AARVI,14-MAR-2022,94.9,95.0,92.15,93.55,29232,20702,388
AAVAS,14-MAR-2022,2542.0,2542.0,2445.15,2486.15,160427,93198,36825
ABAN,14-MAR-2022,50.0,50.4,47.85,48.45,128187,73891,1416
ABB,14-MAR-2022,2125.55,2125.55,2063.45,2078.5,237058,187251,12772
ABBOTINDIA,14-MAR-2022,17349.0,17700.0,17000.0,17041.45,16615,6138,5788
ABCAPITAL,14-MAR-2022,104.05,104.5,101.95,103.95,3065321,1401661,15052
ABFRL,14-MAR-2022,282.0,282.0,273.6,276.85,1412546,464349,15241
ABMINTLLTD,14-MAR-2022,96.4,96.4,90.65,92.1,1425,677,77
ABSLAMC,14-MAR-2022,496.0,498.85,491.15,497.25,134463,78758,6667
ABSLBANETF,14-MAR-2022,35.15,35.2,34.39,35.17,10983,8400,209
ABSLNN50ET,14-MAR-2022,41.27,41.27,40.26,40.64,1843,1535,79
ACC,14-MAR-2022,2054.0,2065.0,2025.0,2058.05,184932,67472,11615
ACCELYA,14-MAR-2022,969.0,999.7,946.95,975.1,41910,26198,4238
ACCURACY,14-MAR-2022,235.75,243.25,234.0,236.2,16240,6813,773
ACE,14-MAR-2022,219.0,219.95,214.0,214.3,190356,81539,3707
ACRYSIL,14-MAR-2022,739.0,743.65,710.0,718.05,90507,37343,8957
ADANIENT,14-MAR-2022,1732.0,1752.45,1722.45,1736.1,659190,115269,24530
ADANIGREEN,14-MAR-2022,1860.05,1872.85,1801.25,1822.4,362116,199251,24916
ADANIPORTS,14-MAR-2022,725.95,733.5,724.0,730.55,1905433,552515,47272
ADANIPOWER,14-MAR-2022,122.55,123.1,120.5,122.15,14143340,2787403,48429
ADANITRANS,14-MAR-2022,2312.0,2333.3,2252.05,2268.3,410270,357013,13151
ADFFOODS,14-MAR-2022,711.0,725.0,702.0,706.0,12279,6620,1387
ADORWELD,14-MAR-2022,682.5,682.5,649.0,650.85,7226,5432,501
ADSL,14-MAR-2022,126.8,127.95,119.9,121.95,248769,154054,3910
ADVANIHOTR,14-MAR-2022,91.05,93.4,91.0,91.95,145762,83619,2090
ADVENZYMES,14-MAR-2022,304.85,311.7,298.5,300.1,189882,64444,7380
AEGISCHEM,14-MAR-2022,196.8,197.0,191.35,192.2,377497,216596,7942
AFFLE,14-MAR-2022,1251.95,1264.0,1209.05,1213.0,295329,141657,39183
AGARIND,14-MAR-2022,468.25,482.15,456.95,469.6,43255,18652,3166
AGRITECH,14-MAR-2022,87.7,87.7,82.7,83.95,15064,7464,414
AGROPHOS,14-MAR-2022,24.45,25.25,23.6,23.85,68478,33646,518
AGSTRA,14-MAR-2022,108.7,109.9,104.0,105.45,336511,185074,7154
AHLADA,14-MAR-2022,125.95,125.95,116.65,119.5,16179,12587,265
AHLEAST,14-MAR-2022,196.95,200.15,193.65,195.05,4475,3108,119
AHLUCONT,14-MAR-2022,382.75,394.2,373.15,389.4,23956,16038,2137
AIAENG,14-MAR-2022,1693.0,1698.0,1654.85,1690.0,24127,14901,5336
AIRAN,14-MAR-2022,20.0,20.25,19.8,19.85,81306,54075,681
AIROLAM,14-MAR-2022,68.5,68.75,66.85,66.95,11233,8971,141
AJANTPHARM,14-MAR-2022,1742.6,1800.0,1699.0,1769.25,91274,58106,9159
AJMERA,14-MAR-2022,335.0,339.85,318.85,321.1,215198,132766,2276
AJOONI,14-MAR-2022,65.6,67.3,63.5,65.35,50900,33614,535
AKG,14-MAR-2022,41.9,44.1,39.1,40.0,73868,68906,140
AKSHARCHEM,14-MAR-2022,376.6,383.05,372.5,378.35,7527,4656,538
AKSHOPTFBR,14-MAR-2022,11.35,11.5,10.95,11.1,347052,212735,751
AKZOINDIA,14-MAR-2022,1961.95,1968.2,1918.95,1935.8,7408,4831,2445
ALANKIT,14-MAR-2022,14.3,14.45,13.85,14.0,365497,266159,1381
ALBERTDAVD,14-MAR-2022,542.5,545.0,526.0,530.65,4952,3112,419
ALEMBICLTD,14-MAR-2022,84.0,84.3,81.75,82.15,181707,79411,3070
ALICON,14-MAR-2022,706.5,737.0,706.0,722.9,9692,5291,795
ALKEM,14-MAR-2022,3398.0,3410.95,3360.0,3380.8,83284,55896,9518
ALKYLAMINE,14-MAR-2022,3009.0,3039.75,2949.0,2955.2,59495,26521,10793
ALLCARGO,14-MAR-2022,320.0,324.7,313.05,322.05,480065,337682,8198
ALLSEC,14-MAR-2022,556.95,574.1,548.45,569.5,12625,9629,691
ALMONDZ,14-MAR-2022,100.2,109.0,98.0,100.5,42369,12925,1220
ALOKINDS,14-MAR-2022,24.5,24.65,23.8,24.0,9119953,3749239,9943
ALPA,14-MAR-2022,75.35,77.5,74.25,75.25,41463,28945,670
ALPHAGEO,14-MAR-2022,313.0,315.55,305.3,308.0,14670,6729,848
AMARAJABAT,14-MAR-2022,576.0,580.95,570.3,575.5,375170,112953,11807
AMBER,14-MAR-2022,3579.0,3744.9,3578.05,3692.05,96132,45504,18941
AMBICAAGAR,14-MAR-2022,29.95,30.5,28.15,28.7,42168,30199,496
AMBIKCO,14-MAR-2022,2420.0,2650.0,2420.0,2592.75,79143,35083,10074
AMBUJACEM,14-MAR-2022,294.65,297.5,289.05,291.2,2658414,1291071,30749
AMDIND,14-MAR-2022,47.35,49.7,46.4,47.1,70775,40589,520
AMIORG,14-MAR-2022,925.0,925.0,885.0,891.95,63896,30734,3996
AMJLAND,14-MAR-2022,29.35,30.6,29.15,29.85,14493,8705,203
AMRUTANJAN,14-MAR-2022,844.0,859.85,825.0,832.95,27225,12268,4802
ANANDRATHI,14-MAR-2022,569.0,577.45,560.75,568.45,75359,38175,4527
ANANTRAJ,14-MAR-2022,68.0,68.55,64.6,67.25,253743,151724,2641
ANDHRACEMT,14-MAR-2022,15.0,15.1,14.0,14.1,473053,287326,1613
ANDHRAPAP,14-MAR-2022,238.0,244.9,236.35,242.0,171567,106508,4316
ANDHRSUGAR,14-MAR-2022,155.7,164.7,152.0,158.0,2542309,492188,24991
ANDREWYU,14-MAR-2022,21.95,22.1,20.9,21.15,224934,164037,813
