20MICRONS,20-SEP-2022,107.7,110.4,106.85,107.65,180559,77289,3723
21STCENMGM,20-SEP-2022,24.9,24.9,24.15,24.25,11816,7367,97
3IINFOLTD,20-SEP-2022,48.7,49.6,48.0,48.3,393894,248891,3488
3MINDIA,20-SEP-2022,23550.0,24331.75,23449.2,23919.55,4895,1892,3227
3PLAND,20-SEP-2022,18.4,18.9,17.1,17.75,36876,18211,304
5PAISA,20-SEP-2022,364.0,364.5,348.8,351.15,24583,15988,1321
63MOONS,20-SEP-2022,178.05,186.85,176.6,181.25,142093,56247,4091
A2ZINFRA,20-SEP-2022,11.65,12.2,11.1,11.4,766623,583686,967
AAKASH,20-SEP-2022,15.2,15.45,14.55,15.15,435232,202967,1014
AAREYDRUGS,20-SEP-2022,42.75,42.75,41.2,41.3,33112,18651,493
AARTIDRUGS,20-SEP-2022,455.9,462.0,455.9,460.35,109859,51203,5717
AARTIIND,20-SEP-2022,870.0,897.4,870.0,875.3,581461,166379,18875
AARTISURF,20-SEP-2022,821.5,840.0,813.8,835.5,14414,7379,1436
AARVEEDEN,20-SEP-2022,25.8,25.95,25.25,25.55,20023,9573,203
AARVI,20-SEP-2022,154.9,156.0,134.55,147.75,180234,66235,3418
AAVAS,20-SEP-2022,2245.1,2257.4,2206.35,2222.4,55902,24274,7567
ABAN,20-SEP-2022,56.0,56.6,55.15,55.4,167867,72828,2416
ABB,20-SEP-2022,3184.2,3218.8,3131.1,3150.55,252096,118045,21154
ABBOTINDIA,20-SEP-2022,17405.0,18177.4,17405.0,18113.1,24095,8952,7858
ABCAPITAL,20-SEP-2022,116.0,117.7,115.35,117.2,2921077,1036385,15843
ABFRL,20-SEP-2022,335.3,341.3,333.0,337.55,2170583,731252,25199
ABSLAMC,20-SEP-2022,475.0,482.05,471.05,474.55,33509,16153,2386
ABSLBANETF,20-SEP-2022,40.81,41.7,40.81,41.39,6455,4381,157
ABSLNN50ET,20-SEP-2022,46.7,46.7,45.0,45.83,5504,2267,106
ACC,20-SEP-2022,2674.4,2762.0,2656.0,2725.6,1961065,348496,104737
ACCELYA,20-SEP-2022,1146.45,1182.85,1146.45,1163.15,23024,12976,2725
ACCURACY,20-SEP-2022,245.0,258.0,243.0,256.8,134085,88161,1715
ACE,20-SEP-2022,298.3,303.0,294.95,297.35,440935,104739,9949
ACRYSIL,20-SEP-2022,672.95,676.0,664.95,665.7,60167,30193,3629
ADANIENT,20-SEP-2022,3819.0,3885.0,3812.0,3834.55,3338704,1022253,116980
ADANIGREEN,20-SEP-2022,2370.4,2430.0,2357.05,2399.95,3222826,1294517,113006
ADANIPORTS,20-SEP-2022,974.2,987.85,967.0,970.25,7539047,1332112,130942
ADANITRANS,20-SEP-2022,4114.0,4114.0,3986.0,4021.55,408642,167772,45902
ADFFOODS,20-SEP-2022,713.0,713.0,697.95,700.1,9837,6082,884
ADORWELD,20-SEP-2022,957.75,964.5,927.1,953.45,12712,7818,1539
ADROITINFO,20-SEP-2022,19.0,19.0,18.15,19.0,294165,274702,501
ADSL,20-SEP-2022,114.0,114.8,112.5,113.2,146232,49059,2636
ADVANIHOTR,20-SEP-2022,85.95,86.05,84.1,84.5,43231,27265,904
ADVENZYMES,20-SEP-2022,280.0,308.8,279.85,292.7,8827159,734873,115777
AEGISCHEM,20-SEP-2022,282.4,285.0,279.0,283.6,545954,186211,13282
AETHER,20-SEP-2022,1007.9,1007.9,965.05,971.35,118884,67106,9707
AFFLE,20-SEP-2022,1277.0,1298.0,1266.0,1275.85,120609,51065,8896
AGARIND,20-SEP-2022,637.0,647.0,611.2,615.1,47377,21106,7045
AGI,20-SEP-2022,374.0,377.5,356.0,357.45,333708,117803,11818
AGRITECH,20-SEP-2022,92.25,92.95,89.2,92.1,2690,1003,146
AGROPHOS,20-SEP-2022,40.0,40.7,37.75,38.3,107974,72925,931
AGSTRA,20-SEP-2022,83.55,84.15,81.7,83.2,402065,248757,6801
AHLEAST,20-SEP-2022,372.0,379.75,340.3,344.8,79858,35213,2754
AHLUCONT,20-SEP-2022,459.75,459.75,451.25,454.1,8296,4745,678
AIAENG,20-SEP-2022,2594.0,2712.95,2564.4,2679.35,94713,29138,15462
AIRAN,20-SEP-2022,18.6,19.0,18.6,18.85,178295,98091,889
AIROLAM,20-SEP-2022,74.45,88.55,74.0,88.55,680179,326808,3750
AJANTPHARM,20-SEP-2022,1277.95,1290.0,1239.0,1282.95,263232,227188,8411
AJMERA,20-SEP-2022,279.8,283.7,274.45,279.95,49765,25326,2374
AJOONI,20-SEP-2022,40.5,41.2,39.8,40.0,732260,171239,1796
AJRINFRA,20-SEP-2022,1.7,1.75,1.7,1.7,1423471,890863,633
AKASH,20-SEP-2022,40.5,40.5,39.0,40.0,12042,8094,201
AKSHAR,20-SEP-2022,115.85,116.85,115.0,115.25,60571,35654,310
AKSHARCHEM,20-SEP-2022,360.35,364.0,355.0,357.05,12337,6021,687
AKSHOPTFBR,20-SEP-2022,12.45,12.65,12.1,12.15,464856,281052,869
AKZOINDIA,20-SEP-2022,2150.0,2159.0,2112.25,2136.75,11807,8295,2324
ALANKIT,20-SEP-2022,13.35,13.35,13.05,13.1,122160,86697,405
ALBERTDAVD,20-SEP-2022,569.9,578.0,564.0,572.0,4134,2729,304
ALEMBICLTD,20-SEP-2022,69.9,74.0,65.55,67.5,340772,110982,3345
