20MICRONS,08-JUL-2021,61.0,63.8,61.0,61.85,173059,92820,2360
21STCENMGM,08-JUL-2021,25.3,25.3,25.3,25.3,8170,8170,34
3MINDIA,08-JUL-2021,24540.0,24540.0,24350.0,24459.3,1412,813,801
3PLAND,08-JUL-2021,14.5,15.6,14.5,15.6,64633,49567,233
5PAISA,08-JUL-2021,467.0,480.8,450.0,473.8,168192,68497,6253
AAKASH,08-JUL-2021,207.0,210.0,201.15,208.1,55504,23743,499
AARTIDRUGS,08-JUL-2021,734.0,734.0,723.0,727.4,225239,68907,9521
AARTIIND,08-JUL-2021,867.8,869.5,841.1,848.4,1434478,701471,39614
AARTISURF,08-JUL-2021,1390.0,1398.0,1372.0,1377.65,7172,4278,1442
AARVI,08-JUL-2021,74.7,75.6,72.0,72.45,73223,49601,1175
AAVAS,08-JUL-2021,2974.05,3029.05,2901.2,2924.7,86009,18078,12552
ABB,08-JUL-2021,1742.1,1750.5,1695.1,1703.25,127100,76459,11076
ABBOTINDIA,08-JUL-2021,17260.7,17283.35,17101.95,17257.1,6314,3492,2225
ABCAPITAL,08-JUL-2021,115.2,117.0,113.4,113.95,2098814,908304,14917
ABFRL,08-JUL-2021,214.0,219.9,212.55,214.25,2785570,602474,24891
ABMINTLTD,08-JUL-2021,69.9,70.9,66.0,67.3,3664,1285,104
ABSLBANETF,08-JUL-2021,354.38,355.59,350.5,351.02,201,117,38
ABSLNN50ET,08-JUL-2021,399.0,399.0,393.26,394.5,139,51,14
ACC,08-JUL-2021,2041.0,2057.35,2022.0,2029.5,342553,112608,20410
ACCELYA,08-JUL-2021,1335.0,1371.15,1309.05,1338.65,127396,43531,8112
ACCURACY,08-JUL-2021,83.95,83.95,79.4,81.9,11055,6440,287
ACE,08-JUL-2021,233.0,234.95,224.2,227.05,534347,243677,14923
ACRYSIL,08-JUL-2021,619.5,630.5,611.55,616.85,36049,18532,1895
ADANIENT,08-JUL-2021,1420.0,1445.0,1411.8,1425.9,3898830,255996,76551
ADANIPORTS,08-JUL-2021,724.0,728.0,709.1,711.7,7804439,1043494,95018
ADFFOODS,08-JUL-2021,892.25,933.5,892.25,905.45,57302,18374,5932
ADORWELD,08-JUL-2021,687.9,699.85,655.3,661.5,26606,18700,1852
ADSL,08-JUL-2021,67.2,68.75,65.15,66.2,206530,92664,2443
ADVANIHOTR,08-JUL-2021,69.8,69.8,67.2,67.65,12050,5341,264
ADVENZYMES,08-JUL-2021,401.85,412.2,394.05,398.1,475923,174215,12882
AEGISCHEM,08-JUL-2021,351.95,372.55,349.15,369.75,1900797,778430,33167
AGARIND,08-JUL-2021,320.0,329.0,316.0,324.75,21026,13949,701
AGRITECH,08-JUL-2021,43.4,45.3,43.4,44.7,20239,10908,275
AGROPHOS,08-JUL-2021,17.95,17.95,16.4,17.95,1116393,627904,2852
AHLADA,08-JUL-2021,213.3,216.4,211.05,214.6,80996,59604,1944
AHLEAST,08-JUL-2021,187.15,189.0,182.0,183.05,6584,4156,256
AHLUCONT,08-JUL-2021,380.85,387.0,372.0,376.05,10305,6194,1104
AHLWEST,08-JUL-2021,246.0,250.05,240.4,242.25,5386,3285,335
AIAENG,08-JUL-2021,2168.0,2168.0,2120.0,2142.25,71442,50908,4650
AJANTPHARM,08-JUL-2021,2186.0,2189.75,2156.95,2180.05,81495,36278,10042
AJMERA,08-JUL-2021,299.5,307.0,283.55,290.8,155284,69043,6770
AKASH,08-JUL-2021,235.05,247.0,225.0,227.6,233252,118569,2138
AKG,08-JUL-2021,28.0,28.45,26.55,26.6,7179,6039,79
AKSHARCHEM,08-JUL-2021,363.45,366.95,354.5,357.45,56630,30370,2383
AKZOINDIA,08-JUL-2021,2330.0,2339.8,2301.25,2309.8,6090,2963,1196
ALANKIT,08-JUL-2021,23.75,25.0,23.25,23.65,1783997,784744,4547
ALBERTDAVD,08-JUL-2021,508.3,512.2,498.0,500.75,20225,10641,1507
ALEMBICLTD,08-JUL-2021,130.8,131.5,126.6,127.5,725781,154543,12088
ALICON,08-JUL-2021,686.0,710.0,676.0,681.0,26954,15512,1861
ALKALI,08-JUL-2021,71.45,73.25,70.1,70.4,37839,22500,638
ALKEM,08-JUL-2021,3311.0,3335.0,3295.15,3324.85,95365,32821,6980
