20MICRONS,19-AUG-2022,105.5,106.45,101.0,102.25,259540,119325,4804
21STCENMGM,19-AUG-2022,27.5,27.5,27.5,27.5,1040,1040,14
3IINFOLTD,19-AUG-2022,44.45,48.5,44.0,45.7,2056328,806333,12792
3MINDIA,19-AUG-2022,23450.0,23450.0,22710.05,22856.45,2660,1276,1334
3PLAND,19-AUG-2022,17.0,17.45,15.9,17.15,30197,24516,360
5PAISA,19-AUG-2022,286.0,290.35,280.05,281.5,39001,19671,1206
63MOONS,19-AUG-2022,192.0,194.95,188.5,189.75,121054,95261,1352
A2ZINFRA,19-AUG-2022,13.6,13.6,12.55,12.85,300168,216729,870
AAKASH,19-AUG-2022,13.3,13.3,12.65,12.8,111621,87784,413
AAREYDRUGS,19-AUG-2022,35.0,36.5,34.25,35.3,47272,29337,529
AARON,19-AUG-2022,133.65,135.0,131.3,132.3,4822,3646,146
AARTIDRUGS,19-AUG-2022,461.55,463.8,441.2,446.6,167147,68555,9396
AARTIIND,19-AUG-2022,833.5,839.7,812.3,815.0,490236,179284,20833
AARTISURF,19-AUG-2022,773.25,773.25,740.0,752.25,9905,6026,1215
AARVEEDEN,19-AUG-2022,23.85,23.85,22.5,22.9,8896,6211,111
AARVI,19-AUG-2022,119.75,123.7,112.55,113.55,26319,19825,535
AAVAS,19-AUG-2022,2254.0,2272.3,2210.65,2255.7,95897,70015,8273
ABAN,19-AUG-2022,47.0,48.9,47.0,47.35,507400,252901,4983
ABB,19-AUG-2022,2903.95,2924.75,2813.5,2888.35,335377,158110,25162
ABBOTINDIA,19-AUG-2022,19055.0,19110.65,18790.0,18820.8,13805,4374,4738
ABCAPITAL,19-AUG-2022,112.7,113.75,110.7,111.45,3108915,1101295,19865
ABFRL,19-AUG-2022,290.8,290.8,281.45,284.0,1379991,524421,20216
ABSLAMC,19-AUG-2022,443.0,449.8,443.0,446.85,69991,30000,3129
ABSLBANETF,19-AUG-2022,39.99,39.99,38.85,38.94,9824,5255,272
ABSLNN50ET,19-AUG-2022,44.9,45.2,44.03,44.32,181944,174647,376
ACC,19-AUG-2022,2330.1,2367.75,2271.95,2350.85,822726,302344,50938
ACCELYA,19-AUG-2022,1074.0,1079.25,1027.0,1044.4,13258,8399,1772
