20MICRONS,17-JAN-2023,90.0,90.5,88.25,89.0,85757,38340,1734
21STCENMGM,17-JAN-2023,22.65,22.65,22.05,22.3,10021,5437,49
3IINFOLTD,17-JAN-2023,40.3,40.45,40.0,40.2,183041,129357,1333
3MINDIA,17-JAN-2023,22514.15,22700.0,22410.0,22611.45,1914,1563,438
3PLAND,17-JAN-2023,30.0,30.0,30.0,30.0,9267,9266,133
5PAISA,17-JAN-2023,317.9,320.0,308.0,311.35,56001,23889,3011
63MOONS,17-JAN-2023,165.85,168.25,164.0,166.55,107086,85171,1702
A2ZINFRA,17-JAN-2023,9.9,9.9,9.6,9.65,87130,62401,322
AAATECH,17-JAN-2023,67.9,67.9,64.0,64.15,10248,3021,204
AAKASH,17-JAN-2023,6.85,6.95,6.75,6.85,132634,78658,440
AAREYDRUGS,17-JAN-2023,37.7,37.9,37.3,37.4,16585,12273,136
AARON,17-JAN-2023,177.0,177.0,168.25,169.2,9156,2660,1299
AARTIDRUGS,17-JAN-2023,448.0,449.2,442.5,443.7,27301,13578,3496
AARTIIND,17-JAN-2023,570.25,575.4,567.55,573.55,312794,102635,14125
AARTISURF,17-JAN-2023,637.25,637.25,610.0,613.9,27290,19280,2276
AARVEEDEN,17-JAN-2023,25.7,27.5,25.6,26.65,66149,32379,870
AARVI,17-JAN-2023,160.1,166.35,160.0,162.55,16371,7513,444
AAVAS,17-JAN-2023,1879.0,1879.0,1841.0,1870.85,77482,60658,4748
ABAN,17-JAN-2023,47.55,48.8,47.1,47.55,71325,27210,1737
ABB,17-JAN-2023,2878.7,2896.85,2835.0,2874.95,88725,36148,12528
ABBOTINDIA,17-JAN-2023,22050.0,22149.9,21612.2,21681.35,21736,16174,3714
ABCAPITAL,17-JAN-2023,147.5,147.8,144.5,146.95,1299364,365277,13008
ABFRL,17-JAN-2023,268.5,268.5,259.55,261.4,3697667,1775449,34916
ABSLAMC,17-JAN-2023,455.2,459.0,453.1,458.05,26808,16540,1506
ABSLBANETF,17-JAN-2023,42.97,42.97,41.99,42.32,13115,10655,183
ABSLNN50ET,17-JAN-2023,43.15,44.19,42.7,43.17,6016,3799,147
ACC,17-JAN-2023,2362.0,2371.7,2326.4,2346.0,231181,89145,17000
ACCELYA,17-JAN-2023,1522.25,1532.85,1507.5,1526.7,10768,5918,1892
ACCURACY,17-JAN-2023,183.1,192.0,180.9,189.55,134009,84321,2001
ACE,17-JAN-2023,315.7,316.0,311.2,312.7,168938,63595,5317
ACEINTEG,17-JAN-2023,57.95,60.1,53.4,56.15,6575,4427,199
ACI,17-JAN-2023,631.9,639.0,605.0,609.8,219546,73199,9322
ADANIENT,17-JAN-2023,3620.0,3649.6,3560.2,3639.35,1668381,272056,75220
ADANIGREEN,17-JAN-2023,2108.0,2185.0,2105.0,2166.15,5814973,1131479,193171
ADANIPORTS,17-JAN-2023,788.35,791.45,778.1,784.75,2948618,852901,66214
ADANIPOWER,17-JAN-2023,273.45,283.25,271.75,281.95,2342614,1122227,46207
ADANITRANS,17-JAN-2023,2694.75,2779.0,2676.4,2725.05,806251,143332,49994
ADFFOODS,17-JAN-2023,740.35,789.9,739.5,768.25,98599,30748,5105
ADORWELD,17-JAN-2023,808.75,811.95,795.0,807.45,4420,2605,822
