21STCENMGM,13-OCT-2023,18.95,19.05,18.9,19.05,936,883,28
360ONE,13-OCT-2023,517.3,540.0,511.2,537.85,952043,561230,27731
3IINFOLTD,13-OCT-2023,38.65,39.15,38.4,38.5,452002,285203,2936
3MINDIA,13-OCT-2023,31271.0,31271.0,30782.0,30815.75,1868,1082,1284
3PLAND,13-OCT-2023,26.0,26.55,25.2,26.05,12959,11252,145
5PAISA,13-OCT-2023,435.35,462.0,433.3,448.8,255596,89784,15906
63MOONS,13-OCT-2023,248.0,249.95,241.0,242.4,77732,44606,4053
AAATECH,13-OCT-2023,69.8,70.6,66.1,67.15,362448,183971,3982
AARTIDRUGS,13-OCT-2023,522.0,530.0,519.0,520.4,134185,61953,7547
AARTIIND,13-OCT-2023,485.85,490.1,482.9,486.05,1162265,726730,15314
AARTIPHARM,13-OCT-2023,429.0,429.0,415.8,418.75,73115,37010,4529
AARTISURF,13-OCT-2023,615.0,617.95,601.95,607.55,12228,8274,1389
AARVEEDEN,13-OCT-2023,24.35,24.45,23.6,23.9,13135,6517,370
AARVI,13-OCT-2023,138.2,140.0,135.55,138.0,26676,15067,997
AAVAS,13-OCT-2023,1703.0,1703.0,1650.0,1656.2,166713,99856,20105
ABAN,13-OCT-2023,47.95,48.7,47.0,47.25,241668,128826,2085
ABB,13-OCT-2023,4200.0,4235.0,4190.0,4229.2,149733,99801,20444
ABBOTINDIA,13-OCT-2023,22200.0,22486.85,22134.9,22389.25,5334,1964,2711
ABCAPITAL,13-OCT-2023,179.95,182.25,179.3,180.6,1457762,520661,14939
ABFRL,13-OCT-2023,223.0,224.05,221.1,222.5,1188405,593675,8562
ABSLAMC,13-OCT-2023,443.7,460.0,443.05,458.55,348019,173075,11369
ABSLBANETF,13-OCT-2023,44.98,45.01,44.57,44.73,14616,4783,303
ABSLLIQUID,13-OCT-2023,999.99,1000.01,999.99,1000.01,2526,2366,14
ABSLNN50ET,13-OCT-2023,47.7,47.7,46.44,46.56,1083,1067,71
ACC,13-OCT-2023,2022.15,2030.7,2008.0,2010.45,141242,43766,10297
ACCELYA,13-OCT-2023,1715.0,1750.0,1676.35,1688.2,51081,19758,6762
ACE,13-OCT-2023,703.0,718.0,697.05,712.35,207346,141654,7991
ACEINTEG,13-OCT-2023,36.8,36.8,34.0,34.6,16324,7069,191
ACI,13-OCT-2023,654.3,672.5,648.0,649.75,486142,195148,14819
ACL,13-OCT-2023,98.5,98.5,96.0,96.5,14201,10915,434
ADANIENSOL,13-OCT-2023,792.85,793.7,783.0,785.2,269417,135266,16917
ADANIENT,13-OCT-2023,2488.9,2495.0,2422.35,2454.55,2278682,370690,97378
ADANIGREEN,13-OCT-2023,949.95,952.5,941.7,948.9,290187,149362,15265
ADANIPORTS,13-OCT-2023,812.0,824.8,805.85,813.75,3801000,1465389,65697
ADANIPOWER,13-OCT-2023,345.0,345.0,341.25,341.9,2285167,1078028,34726
ADFFOODS,13-OCT-2023,207.0,246.7,206.1,245.9,2284252,511690,34523
ADORWELD,13-OCT-2023,1134.0,1142.35,1115.0,1129.65,16966,11405,2728
ADROITINFO,13-OCT-2023,22.4,23.2,20.6,21.1,226632,165066,1147
ADSL,13-OCT-2023,128.1,132.0,124.15,125.55,636408,296333,9258
ADVANIHOTR,13-OCT-2023,101.8,104.25,100.25,101.35,98894,54531,2139
ADVENZYMES,13-OCT-2023,334.55,344.15,333.15,334.95,187213,98654,8930
AEGISCHEM,13-OCT-2023,322.0,324.1,320.9,321.7,93234,45205,3876
AEROFLEX,13-OCT-2023,158.0,162.45,156.1,157.0,2009389,928583,27800
AETHER,13-OCT-2023,950.7,962.0,936.0,945.5,68472,56216,3982
AFFLE,13-OCT-2023,1070.3,1085.95,1070.0,1077.3,91964,50447,8857
AGARIND,13-OCT-2023,933.0,955.0,930.05,942.3,71004,31447,8483
AGI,13-OCT-2023,965.0,1089.0,956.0,1067.0,2891103,381049,101591
AGROPHOS,13-OCT-2023,38.95,38.95,37.35,37.95,36667,24744,305
AGSTRA,13-OCT-2023,61.75,63.05,61.5,62.35,243297,118762,2709
AHL,13-OCT-2023,348.0,348.4,340.95,342.2,452307,138022,4012
AHLADA,13-OCT-2023,121.95,123.55,116.0,117.55,83412,55854,1011
AHLEAST,13-OCT-2023,148.8,152.4,144.0,145.55,15917,8270,658
AHLUCONT,13-OCT-2023,694.0,702.3,693.3,696.8,17435,11745,2066
AIAENG,13-OCT-2023,3372.6,3400.0,3365.0,3380.75,36271,22108,8259
AJANTPHARM,13-OCT-2023,1780.0,1796.0,1768.9,1777.75,66143,39451,8445
AJMERA,13-OCT-2023,414.8,427.8,411.6,413.1,132031,33543,8744
AJOONI,13-OCT-2023,4.7,4.7,4.6,4.6,213963,148148,308
AKASH,13-OCT-2023,29.85,29.85,29.2,29.4,20063,12557,278
AKG,13-OCT-2023,25.45,26.6,25.0,25.75,140046,78398,1262
AKSHAR,13-OCT-2023,6.3,6.75,6.25,6.5,84829,54442,195
AKSHARCHEM,13-OCT-2023,284.7,289.65,281.65,283.15,10508,6873,647
AKZOINDIA,13-OCT-2023,2483.5,2494.65,2460.0,2481.9,6600,3749,2132
ALANKIT,13-OCT-2023,11.0,11.1,10.7,10.75,852949,572288,1709
ALBERTDAVD,13-OCT-2023,847.2,855.9,833.6,838.5,15613,6931,2256
ALEMBICLTD,13-OCT-2023,79.25,83.35,78.85,82.65,4494234,2437357,21973
ALICON,13-OCT-2023,846.85,849.05,835.05,837.0,8771,4853,1030
ALKALI,13-OCT-2023,116.4,117.9,114.75,115.4,20062,8355,707
ALKEM,13-OCT-2023,3600.85,3646.3,3570.0,3612.45,148801,90489,9741
ALKYLAMINE,13-OCT-2023,2273.0,2288.0,2252.5,2267.95,16688,9799,3537
ALLCARGO,13-OCT-2023,265.05,274.0,263.8,271.5,244641,121944,6633
ALLSEC,13-OCT-2023,583.3,592.7,582.65,588.1,8286,5275,696
ALMONDZ,13-OCT-2023,86.1,87.15,86.0,86.6,47859,40525,286
ALOKINDS,13-OCT-2023,18.5,19.45,18.4,19.15,19975866,8036198,19091
ALPA,13-OCT-2023,74.55,75.4,73.2,73.65,54952,28725,1073
ALPHAGEO,13-OCT-2023,291.8,305.7,286.35,296.95,33956,17024,1820
AMARAJABAT,13-OCT-2023,646.05,651.5,646.05,647.65,187719,109240,9554
AMBER,13-OCT-2023,2988.2,3009.95,2957.05,2971.65,43270,14348,6486
AMBIKCO,13-OCT-2023,1524.0,1525.0,1515.0,1518.55,6003,4030,1112
AMBUJACEM,13-OCT-2023,444.5,445.8,438.9,439.9,950920,458854,17098
AMDIND,13-OCT-2023,62.7,67.6,62.7,65.05,180234,108147,1847
AMIORG,13-OCT-2023,1247.0,1254.9,1221.0,1244.3,26530,11685,3130
AMJLAND,13-OCT-2023,34.9,35.05,32.75,33.15,96547,45945,956
AMRUTANJAN,13-OCT-2023,609.15,611.0,601.4,606.2,14068,7679,1759
ANANDRATHI,13-OCT-2023,1890.0,1930.0,1803.05,1884.1,288361,100287,29731
ANANTRAJ,13-OCT-2023,230.9,235.3,228.65,234.6,1185799,663869,23776
ANDHRAPAP,13-OCT-2023,647.9,656.5,640.0,643.7,273916,162819,11435
