20MICRONS,09-NOV-2021,60.5,63.8,59.5,61.65,251338,111339,3000
21STCENMGM,09-NOV-2021,61.05,61.05,61.05,61.05,29018,27646,187
3IINFOLTD,09-NOV-2021,57.85,57.85,57.85,57.85,112962,112962,287
3MINDIA,09-NOV-2021,27500.0,27662.0,27172.2,27218.0,6114,5100,1150
3PLAND,09-NOV-2021,13.25,13.25,12.55,13.0,6789,5005,103
5PAISA,09-NOV-2021,438.6,444.45,437.6,439.45,13173,7451,751
63MOONS,09-NOV-2021,97.3,100.85,97.3,99.0,50699,39936,947
A2ZINFRA,09-NOV-2021,5.7,6.05,5.65,6.05,2965601,1791944,2359
AAKASH,09-NOV-2021,210.05,215.0,206.5,209.55,25062,17352,353
AAREYDRUGS,09-NOV-2021,39.25,39.25,36.35,36.85,75707,51018,1032
AARON,09-NOV-2021,107.3,108.8,103.4,104.55,5367,2911,162
AARTIDRUGS,09-NOV-2021,565.25,570.35,561.0,561.95,164230,86426,8669
AARTIIND,09-NOV-2021,953.05,966.65,951.2,953.85,398206,194107,21415
AARTISURF,09-NOV-2021,1267.0,1318.3,1235.2,1240.0,15483,7939,2684
AARVEEDEN,09-NOV-2021,27.0,27.0,26.3,26.55,21342,18008,162
AARVI,09-NOV-2021,55.05,56.5,55.05,56.25,10441,8369,149
AAVAS,09-NOV-2021,2794.7,2794.7,2777.1,2782.1,15764,9944,3368
ABB,09-NOV-2021,2094.95,2208.4,2084.45,2185.05,595914,338207,28527
ABBOTINDIA,09-NOV-2021,19994.0,20250.0,19960.05,20071.7,7363,3119,2948
ABCAPITAL,09-NOV-2021,107.95,113.2,107.0,112.75,9700179,5185030,48645
ABFRL,09-NOV-2021,290.15,306.9,289.3,305.75,9739451,1501505,83254
ABMINTLLTD,09-NOV-2021,107.3,111.85,105.05,106.75,1978,526,80
ABSLAMC,09-NOV-2021,632.45,638.0,630.55,631.15,302366,220347,12241
ABSLBANETF,09-NOV-2021,392.98,392.98,390.8,391.55,641,485,25
ABSLNN50ET,09-NOV-2021,457.7,457.7,444.2,445.59,1035,924,29
ACC,09-NOV-2021,2523.0,2552.5,2502.05,2538.3,531520,228912,39165
ACCELYA,09-NOV-2021,1200.0,1213.0,1189.95,1194.55,18015,8789,2277
ACCURACY,09-NOV-2021,182.7,184.35,178.5,180.6,31820,16911,845
ACE,09-NOV-2021,258.15,268.4,255.1,262.45,1257705,445142,26177
ACRYSIL,09-NOV-2021,777.7,810.4,774.25,810.4,127480,82704,5548
ADANIENT,09-NOV-2021,1555.0,1659.0,1554.95,1635.45,4713708,846860,110369
ADANIGREEN,09-NOV-2021,1215.0,1235.0,1203.05,1230.8,2220381,1221739,28982
ADANIPORTS,09-NOV-2021,731.0,744.5,727.8,737.35,3456614,590552,57702
ADANIPOWER,09-NOV-2021,104.4,109.7,104.15,109.7,8696567,3642589,34235
ADFFOODS,09-NOV-2021,854.2,880.0,853.75,858.85,14866,4933,1704
ADORWELD,09-NOV-2021,709.0,745.0,703.3,738.1,23969,17149,2468
ADROITINFO,09-NOV-2021,11.55,12.3,11.2,12.25,30065,23132,134
ADSL,09-NOV-2021,113.4,125.2,111.35,119.45,4806961,1251501,59571
ADVANIHOTR,09-NOV-2021,78.55,82.9,77.15,81.0,32465,21126,416
ADVENZYMES,09-NOV-2021,358.4,366.0,356.8,361.6,201537,55676,7074
AEGISCHEM,09-NOV-2021,211.0,215.85,210.9,211.65,587818,337299,18770
AFFLE,09-NOV-2021,1084.0,1120.0,1072.75,1101.7,247735,127397,20490
AGARIND,09-NOV-2021,375.0,388.8,367.5,379.65,95224,37391,5785
AGROPHOS,09-NOV-2021,18.2,18.2,15.5,16.65,75611,45629,462
AHLADA,09-NOV-2021,166.6,171.8,165.6,166.65,12037,7621,283
AHLEAST,09-NOV-2021,188.8,188.85,185.05,187.6,2411,1887,112
AHLUCONT,09-NOV-2021,412.0,429.0,407.75,423.05,263676,147907,8472
AIAENG,09-NOV-2021,1890.0,1915.0,1880.0,1906.25,178687,165589,4232
AIRAN,09-NOV-2021,20.65,20.65,20.0,20.45,56412,36663,347
AIROLAM,09-NOV-2021,65.8,65.8,62.0,63.35,17171,10113,204
AJANTPHARM,09-NOV-2021,2166.05,2201.0,2135.75,2153.25,63380,47527,5464
AJOONI,09-NOV-2021,63.0,64.75,62.3,63.55,21610,14084,325
AJRINFRA,09-NOV-2021,1.35,1.4,1.35,1.4,1461128,1250782,521
AKASH,09-NOV-2021,241.5,241.95,234.5,235.75,18794,15217,226
AKG,09-NOV-2021,42.05,42.75,40.35,40.9,6462,4683,110
AKSHARCHEM,09-NOV-2021,454.4,472.2,453.3,470.5,81173,20013,4959
AKSHOPTFBR,09-NOV-2021,9.6,9.7,9.5,9.7,514224,346479,840
AKZOINDIA,09-NOV-2021,2113.1,2130.0,2095.0,2112.7,6902,4193,1779
ALANKIT,09-NOV-2021,17.6,17.6,17.25,17.3,695602,491095,1027
ALBERTDAVD,09-NOV-2021,617.3,626.95,612.45,614.95,16826,10566,1481
ALEMBICLTD,09-NOV-2021,106.6,110.6,106.6,109.65,273074,122685,4859
ALICON,09-NOV-2021,772.1,782.55,765.0,768.75,9172,5865,539
ALKALI,09-NOV-2021,97.0,97.0,92.1,93.3,29017,18507,665
ALKEM,09-NOV-2021,3606.3,3629.9,3570.0,3583.4,39055,13463,4669
ALKYLAMINE,09-NOV-2021,3300.0,3369.0,3292.0,3355.85,60541,33211,12378
ALLCARGO,09-NOV-2021,375.0,379.0,361.8,374.55,1542331,462947,22112
ALLSEC,09-NOV-2021,550.0,550.0,527.0,532.65,19712,10749,2426
ALMONDZ,09-NOV-2021,135.0,139.95,132.35,133.9,28991,17784,681
ALOKINDS,09-NOV-2021,22.85,23.1,22.75,22.9,4421801,2029883,7013
ALPA,09-NOV-2021,53.0,53.0,51.3,52.3,19853,13115,338
ALPHAGEO,09-NOV-2021,362.95,373.2,356.5,366.15,32506,15264,1957
AMARAJABAT,09-NOV-2021,707.65,711.95,704.1,707.05,699660,389870,26255
AMBER,09-NOV-2021,3525.0,3537.8,3455.0,3473.95,28987,9708,4741
