20MICRONS,06-JUL-2021,59.9,63.9,59.9,61.4,345452,171833,4158
21STCENMGM,06-JUL-2021,24.4,24.4,24.4,24.4,1468,1468,13
3MINDIA,06-JUL-2021,24130.0,24799.9,24086.6,24669.2,6148,3510,2520
3PLAND,06-JUL-2021,12.95,13.15,12.55,12.95,26344,19729,164
5PAISA,06-JUL-2021,428.85,450.65,428.0,436.15,81896,37386,2850
AAKASH,06-JUL-2021,206.0,208.1,198.5,200.75,101278,47501,852
AARTIDRUGS,06-JUL-2021,742.5,749.75,732.25,735.05,420926,165385,17007
AARTIIND,06-JUL-2021,861.0,865.7,847.3,849.35,1170592,595974,32493
AARTISURF,06-JUL-2021,1425.0,1425.1,1375.05,1380.5,18020,12485,3218
AARVI,06-JUL-2021,77.0,77.3,70.15,71.9,292971,182186,3016
AAVAS,06-JUL-2021,2685.0,3074.35,2684.0,2858.4,385568,73512,43275
ABB,06-JUL-2021,1771.05,1784.25,1746.05,1757.75,76698,34250,8362
ABBOTINDIA,06-JUL-2021,16800.0,17289.7,16776.5,17227.25,20820,11895,5049
ABCAPITAL,06-JUL-2021,116.3,117.45,115.2,115.55,1942513,748905,14641
ABFRL,06-JUL-2021,216.05,221.0,214.0,214.95,2585579,1566476,16011
ABMINTLTD,06-JUL-2021,68.15,71.0,68.0,68.15,3025,1761,75
ABSLBANETF,06-JUL-2021,351.0,355.19,350.99,353.7,372,264,36
ABSLNN50ET,06-JUL-2021,392.95,459.4,392.95,394.85,2553,1396,108
ACC,06-JUL-2021,1987.85,2058.55,1983.05,2022.85,1171831,314069,43567
ACCELYA,06-JUL-2021,1380.0,1443.95,1290.35,1323.85,598999,148959,34983
ACCURACY,06-JUL-2021,80.5,84.0,78.0,79.4,16452,7488,289
ACE,06-JUL-2021,241.95,244.3,229.2,230.9,748977,319072,15737
ACRYSIL,06-JUL-2021,632.0,632.45,615.0,617.6,47456,29653,2233
ADANIENT,06-JUL-2021,1400.9,1444.15,1378.75,1414.8,9485434,422624,192093
ADANIPORTS,06-JUL-2021,712.0,731.95,707.1,712.7,14580124,1615386,172719
ADFFOODS,06-JUL-2021,894.75,910.0,891.25,900.95,36898,17339,3389
ADORWELD,06-JUL-2021,687.6,712.0,680.0,683.6,38913,24644,2686
ADROITINFO,06-JUL-2021,14.75,14.75,13.4,14.75,74398,63937,424
ADSL,06-JUL-2021,69.7,71.5,65.85,66.45,567447,328096,4935
ADVANIHOTR,06-JUL-2021,68.5,69.95,67.2,68.1,32650,16345,630
ADVENZYMES,06-JUL-2021,411.4,415.9,406.6,407.85,283429,122141,7582
AEGISCHEM,06-JUL-2021,351.4,353.7,342.0,344.55,280885,153655,7404
AGARIND,06-JUL-2021,336.2,339.95,319.05,322.4,32863,24252,1211
AGRITECH,06-JUL-2021,46.85,46.85,44.1,44.65,18887,11541,284
AGROPHOS,06-JUL-2021,13.7,14.9,13.65,14.9,264499,250467,650
AHLADA,06-JUL-2021,200.05,213.0,194.05,208.4,144594,98409,2949
AHLEAST,06-JUL-2021,179.35,183.0,179.35,181.3,6956,3904,272
AHLUCONT,06-JUL-2021,393.4,399.0,385.1,387.6,16830,9466,1455
AHLWEST,06-JUL-2021,225.0,252.0,222.95,243.95,55468,21954,2803
AIAENG,06-JUL-2021,2155.0,2188.95,2143.2,2166.0,21313,9736,3533
AJANTPHARM,06-JUL-2021,2174.1,2183.85,2144.0,2165.6,56422,20305,6029
AJMERA,06-JUL-2021,269.7,295.0,267.05,294.65,679356,437557,11700
AKASH,06-JUL-2021,232.0,270.6,226.15,235.2,157774,29074,3319
AKG,06-JUL-2021,28.45,28.65,27.05,27.35,21244,15142,143
AKSHARCHEM,06-JUL-2021,365.5,379.8,357.55,368.3,216555,94091,8127
AKZOINDIA,06-JUL-2021,2350.0,2368.0,2320.1,2327.7,6377,3287,1727
ALANKIT,06-JUL-2021,24.65,25.45,23.8,24.75,775866,413488,2661
ALBERTDAVD,06-JUL-2021,480.0,525.0,480.0,506.9,130560,46890,10959
ALEMBICLTD,06-JUL-2021,128.2,131.7,124.0,129.7,1083763,365265,11875
ALICON,06-JUL-2021,705.0,730.0,675.25,684.35,53087,25156,2852
ALKALI,06-JUL-2021,70.95,71.75,68.0,68.9,24232,15984,664
ALKEM,06-JUL-2021,3247.0,3341.7,3247.0,3315.2,355018,117478,22380
ALKYLAMINE,06-JUL-2021,3745.0,3768.75,3685.0,3714.7,51916,26023,7947
ALLCARGO,06-JUL-2021,156.0,158.85,154.85,155.55,437693,260070,5025
ALLSEC,06-JUL-2021,451.0,457.0,427.0,430.2,138515,52459,9351
ALMONDZ,06-JUL-2021,67.35,67.35,67.35,67.35,5118,5118,24
ALOKINDS,06-JUL-2021,27.15,27.6,26.6,26.7,8064356,4159704,15609
ALPHAGEO,06-JUL-2021,330.0,336.95,320.1,324.7,160973,83595,6354
AMARAJABAT,06-JUL-2021,752.0,752.95,743.0,744.2,757906,332045,24513
AMBER,06-JUL-2021,3055.0,3069.0,2976.0,3010.1,68362,30743,9353
AMBICAAGAR,06-JUL-2021,21.95,22.7,21.3,21.6,44510,27791,258
AMBIKCO,06-JUL-2021,1208.65,1230.0,1182.35,1191.7,26840,13576,3537
AMBUJACEM,06-JUL-2021,341.3,359.95,341.3,351.85,12291310,1976441,120189
AMDIND,06-JUL-2021,32.05,32.05,31.95,32.05,65713,64911,302
AMJLAND,06-JUL-2021,34.9,37.0,33.5,33.85,856018,411882,4249
AMRUTANJAN,06-JUL-2021,714.0,717.15,693.0,699.6,51643,25724,5753
ANDHRAPAP,06-JUL-2021,270.0,283.7,260.0,261.85,285814,112388,9213
ANDHRSUGAR,06-JUL-2021,573.0,577.6,551.0,553.2,184412,91231,6882
ANGELBRKG,06-JUL-2021,893.0,904.5,890.05,895.5,279807,158165,14163
ANIKINDS,06-JUL-2021,24.95,25.45,24.1,25.1,173798,97985,616
ANMOL,06-JUL-2021,161.5,162.0,156.3,159.1,22873,1808,174
ANSALHSG,06-JUL-2021,8.15,8.4,8.15,8.4,1174557,1045886,557
